City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
314,Bartlesville,US,36.7473,-95.9808,52.59,43,0,8.05,clear sky
315,Shabrovskiy,RU,56.636,60.5807,0.21,85,100,2.24,mist
316,Vama,RO,47.5667,25.6833,36.55,72,61,16.62,broken clouds
317,Macesu De Jos,RO,43.8833,23.7167,45.97,67,37,19.37,scattered clouds
318,Djibo,BF,14.1022,-1.6306,87.89,7,28,16.37,scattered clouds
319,Tabou,CI,4.423,-7.3528,83.98,69,57,10.16,broken clouds
320,Krasnorechenskiy,RU,44.6265,135.3532,-3.71,91,67,9.28,broken clouds
321,Chapais,CA,49.7834,-74.8492,-9.62,85,98,8.48,overcast clouds
322,Tomatlan,MX,19.9333,-105.25,83.21,39,2,4.54,clear sky
323,Port Macquarie,AU,-31.4333,152.9167,71.49,100,100,4.61,overcast clouds
324,Fougamou,GA,-1.2154,10.5838,77.95,90,99,2.42,moderate rain
325,Bilma,NE,18.6853,12.9164,67.19,13,1,13.35,clear sky
326,Luoyang,CN,34.6836,112.4536,34.68,79,3,6.15,clear sky
327,Jos,NG,9.9167,8.9,76.3,13,86,8.75,overcast clouds
328,Udachnyy,RU,66.4167,112.4,-28.89,100,33,2.82,scattered clouds
329,Odawara,JP,35.2556,139.1597,40.98,64,74,4.79,broken clouds
330,Brae,GB,60.3964,-1.353,40.91,72,100,17.13,overcast clouds
331,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,80,20,3.0,few clouds
332,Imeni Poliny Osipenko,RU,52.4201,136.4853,-4.34,99,100,4.03,overcast clouds
333,Quatre Cocos,MU,-20.2078,57.7625,80.71,81,54,17.58,broken clouds
334,Douentza,ML,14.9951,-2.9517,89.26,7,21,16.46,few clouds
335,Kroya,ID,-7.6331,109.2461,78.19,87,100,2.89,overcast clouds
336,Palimbang,PH,6.2106,124.1894,77.92,82,74,2.66,broken clouds
337,Hofn,IS,64.2539,-15.2082,32.02,55,40,20.71,scattered clouds
338,Kon Tum,VN,14.35,108.0,65.62,97,73,2.68,broken clouds
339,Nelson Bay,AU,-32.7167,152.15,73.0,95,41,1.41,scattered clouds
340,Pechenga,RU,69.5259,31.1703,5.86,97,84,6.35,light snow
341,Marawi,PH,7.9986,124.2928,67.64,93,67,1.14,broken clouds
342,Nago,JP,26.5881,127.9761,59.16,69,97,21.97,overcast clouds
343,Juneau,US,58.3019,-134.4197,34.21,95,100,1.01,light snow
344,Sokoni,TZ,-6.4333,39.55,82.26,78,95,13.65,overcast clouds
